"district","sfcode","bldgcode","schoolname","siteaddress","borough","zip","accessibility","longitude","latitude","koshermealtype","button","content"
"19","19292","K292","J.H.S. 292 Margaret S. Douglas","301 VERMONT STREET","Brooklyn","11207","No Accessibility",-73.893319,40.671601,"non-kosher","FreeMeals","301 VERMONT STREET, , NY 11207<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"3","03165","M165","P.S. 165 Robert E. Simon","234 WEST 109 STREET","Manhattan","10025","No Accessibility",-73.965949,40.802653,"non-kosher","FreeMeals","234 WEST 109 STREET, , NY 10025<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"2","02042","M042","P.S. 042 Benjamin Altman","71 HESTER STREET","Manhattan","10002","No Accessibility",-73.990826,40.716126,"non-kosher","FreeMeals","71 HESTER STREET, , NY 10002<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"14","14250","K250","P.S. 250 George H. Lindsay","108 MONTROSE AVENUE","Brooklyn","11206","No Accessibility",-73.945659,40.706708,"non-kosher","FreeMeals","108 MONTROSE AVENUE, , NY 11206<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"4","04121","M121","P.S. 38 Roberto Clemente","232 EAST 103 STREET","Manhattan","10029","No Accessibility",-73.944762,40.788668,"non-kosher","FreeMeals","232 EAST 103 STREET, , NY 10029<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"9","09328","X145","New Millenium Business Acad. MS","1000 TELLER AVENUE","Bronx","10456","No Accessibility",-73.914067,40.827438,"non-kosher","FreeMeals","1000 TELLER AVENUE, , NY 10456<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"2","02531","M488","Art and Design High School","231-249 EAST 56 STREET","Manhattan","10019","Fully Accessible",-73.967204,40.759248,"non-kosher","FreeMeals","231-249 EAST 56 STREET, , NY 10019<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"2","02524","M834","High School for Environmental Studies","444 WEST 56 STREET","Manhattan","10019","Partially Accessible",-73.98861,40.767848,"non-kosher","FreeMeals","444 WEST 56 STREET, , NY 10019<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"3","03301","M144","P.S. 242 - The Young Diplomats Magnet Academy","134 WEST 122 STREET","Manhattan","10027","Partially Accessible",-73.948385,40.806055,"non-kosher","FreeMeals","134 WEST 122 STREET, , NY 10027<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"11","11111","X111","P.S. 111 Seton Falls","3740 BAYCHESTER AVENUE","Bronx","10466","No Accessibility",-73.839288,40.884371,"non-kosher","FreeMeals","3740 BAYCHESTER AVENUE, , NY 10466<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"1","01142","M142","P.S. 142 Amalia Castro","100 ATTORNEY STREET","Manhattan","10002","Partially Accessible",-73.984116,40.718121,"non-kosher","FreeMeals","100 ATTORNEY STREET, , NY 10002<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"15","15586","K804","Cobble Hill School of American Studies","347 BALTIC STREET","Brooklyn","11201","No Accessibility",-73.990884,40.684869,"non-kosher","FreeMeals","347 BALTIC STREET, , NY 11201<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"11","11175","X175","P.S. 175 City Island","200 CITY ISLAND AVENUE","Bronx","10464","No Accessibility",-73.78354,40.844353,"non-kosher","FreeMeals","200 CITY ISLAND AVENUE, , NY 10464<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"12","12536","X879","Wings Academy","1122 EAST 180 STREET","Bronx","10460","Fully Accessible",-73.875262,40.841376,"non-kosher","FreeMeals","1122 EAST 180 STREET, , NY 10460<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"31","31016","R016","P.S. 016 John J. Driscoll","195 DANIEL LOW TERRACE","Staten Island","10301","No Accessibility",-74.079594,40.639638,"non-kosher","FreeMeals","195 DANIEL LOW TERRACE, , NY 10301<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"21","21096","K096","I.S. 096 Seth Low","99 AVENUE P","Brooklyn","11204","Fully Accessible",-73.984985,40.608135,"non-kosher","FreeMeals","99 AVENUE P, , NY 11204<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"21","21281","K281","I.S. 281 Joseph B Cavallaro","8787 24 AVENUE","Brooklyn","11214","Partially Accessible",-73.993565,40.594648,"non-kosher","FreeMeals","8787 24 AVENUE, , NY 11214<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"31","31007","R007","I.S. 007 Elias Bernstein","1270 HUGUENOT AVENUE","Staten Island","10312","No Accessibility",-74.186096,40.522971,"non-kosher","FreeMeals","1270 HUGUENOT AVENUE, , NY 10312<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"15","15462","K460","Secondary School for Law","237 7 AVENUE","Brooklyn","11215","Fully Accessible",-73.97858,40.669255,"non-kosher","FreeMeals","237 7 AVENUE, , NY 11215<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"29","29192","Q192","I.S. 192 The Linden","109-89 204 STREET","Queens","11412","No Accessibility",-73.752885,40.705989,"non-kosher","FreeMeals","109-89 204 STREET, , NY 11412<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"18","18566","K515","Brooklyn Generation School","6565 FLATLANDS AVENUE","Brooklyn","11236","Partially Accessible",-73.916927,40.634451,"non-kosher","FreeMeals","6565 FLATLANDS AVENUE, , NY 11236<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"20","20519","K505","FRANKLIN D. ROOSEVELT HS","5800 20 AVENUE","Brooklyn","11204","No Accessibility",-73.982583,40.621299,"kosher","FreeMeals","5800 20 AVENUE, , NY 11204<br/><b>Kosher meal type: </b>kosher<br/><b>Accessibility: </b>No Accessibility"
"10","10024","X024","P.S. 24","660 WEST 236 STREET","Bronx","10463","No Accessibility",-73.915114,40.886922,"kosher","FreeMeals","660 WEST 236 STREET, , NY 10463<br/><b>Kosher meal type: </b>kosher<br/><b>Accessibility: </b>No Accessibility"
"24","24093","Q093","I.S. 093 Ridgewood","66-56 FOREST AVENUE","Queens","11385","Partially Accessible",-73.903057,40.705609,"non-kosher","FreeMeals","66-56 FOREST AVENUE, , NY 11385<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"27","27210","Q210","J.H.S. 210 Elizabeth Blackwell","93-11 101 AVENUE","Queens","11416","Partially Accessible",-73.847633,40.68476,"non-kosher","FreeMeals","93-11 101 AVENUE, , NY 11416<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"18","18564","K415","It Takes a Village Academy","5800 TILDEN AVENUE","Brooklyn","11203","Partially Accessible",-73.922212,40.647728,"non-kosher","FreeMeals","5800 TILDEN AVENUE, , NY 11203<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"22","22240","K240","Andries Hudde","2500 NOSTRAND AVENUE","Brooklyn","11210","No Accessibility",-73.946836,40.623788,"non-kosher","FreeMeals","2500 NOSTRAND AVENUE, , NY 11210<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"25","25024","Q024","P.S. 024 Andrew Jackson","141-11 HOLLY AVENUE","Queens","11355","Partially Accessible",-73.8181,40.751972,"non-kosher","FreeMeals","141-11 HOLLY AVENUE, , NY 11355<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"16","16508","K455","Boys & Girls H.S.","1700 FULTON STREET","Brooklyn","11213","Partially Accessible",-73.931604,40.678478,"non-kosher","FreeMeals","1700 FULTON STREET, , NY 11213<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"26","26505","Q415","Benjamin N. Cardozo High School","57-00 223RD STREET","Queens","11364","Partially Accessible",-73.757271,40.752343,"non-kosher","FreeMeals","57-00 223RD STREET, , NY 11364<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"22","22278","K278","J.H.S. 278 Marine Park","1925 STUART STREET","Brooklyn","11229","No Accessibility",-73.938721,40.606745,"non-kosher","FreeMeals","1925 STUART STREET, , NY 11229<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"32","32376","K376","P.S. 376","194 HARMAN STREET","Brooklyn","11237","No Accessibility",-73.920187,40.69805,"non-kosher","FreeMeals","194 HARMAN STREET, , NY 11237<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"17","17138","K138","P.S. 138 Brooklyn","760 PROSPECT PLACE","Brooklyn","11216","Partially Accessible",-73.951559,40.673943,"non-kosher","FreeMeals","760 PROSPECT PLACE, , NY 11216<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"30","30533","Q445","William Cullen Bryant High School","48-10 31 AVENUE","Queens","11103","No Accessibility",-73.911165,40.757072,"non-kosher","FreeMeals","48-10 31 AVENUE, , NY 11103<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"1","01632","M056","University Neighborhood Middle School","220 HENRY STREET","Manhattan","10002","Partially Accessible",-73.986051,40.713362,"non-kosher","FreeMeals","220 HENRY STREET, , NY 10002<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"32","32123","K123","P.S. 123 Suydam","100 IRVING AVENUE","Brooklyn","11237","No Accessibility",-73.922388,40.704076,"non-kosher","FreeMeals","100 IRVING AVENUE, , NY 11237<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"13","13067","K067","P.S. 067 Charles A. Dorsey","51 SAINT EDWARDS STREET","Brooklyn","11205","No Accessibility",-73.977674,40.695339,"non-kosher","FreeMeals","51 SAINT EDWARDS STREET, , NY 11205<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"32","32528","K913","EBC High School for Public Service Bushwick","1155 DEKALB AVENUE","Brooklyn","11221","Partially Accessible",-73.929315,40.694723,"non-kosher","FreeMeals","1155 DEKALB AVENUE, , NY 11221<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"14","14126","K126","John Ericsson Middle School 126","424 LEONARD STREET","Brooklyn","11222","Partially Accessible",-73.947932,40.719818,"non-kosher","FreeMeals","424 LEONARD STREET, , NY 11222<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"23","23518","K275","Kappa V","985 ROCKAWAY AVENUE","Brooklyn","11212","Fully Accessible",-73.906662,40.655644,"non-kosher","FreeMeals","985 ROCKAWAY AVENUE, , NY 11212<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"24","24807","Q877","PS 007 Louis F. Simeone Annex","76-05 51 AVENUE","Queens","11373","No Accessibility",-73.882446,40.739644,"non-kosher","FreeMeals","76-05 51 AVENUE, , NY 11373<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"23","23222","K271","Mott Hall IV","1137 HERKIMER STREET","Brooklyn","11233","No Accessibility",-73.915106,40.678124,"non-kosher","FreeMeals","1137 HERKIMER STREET, , NY 11233<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"29","29138","Q138","P.S./ M.S.138 Sunrise","251-11 WELLER AVENUE","Queens","11422","Partially Accessible",-73.734342,40.659876,"non-kosher","FreeMeals","251-11 WELLER AVENUE, , NY 11422<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"15","15015","K015","P.S. 015 Patrick F. Daly","71 SULLIVAN STREET","Brooklyn","11231","No Accessibility",-74.011864,40.677085,"non-kosher","FreeMeals","71 SULLIVAN STREET, , NY 11231<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"2","02198","M198","P.S. 198 Isador E. Ida Straus","1700 3 AVENUE","Manhattan","10128","No Accessibility",-73.95042,40.785018,"non-kosher","FreeMeals","1700 3 AVENUE, , NY 10128<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"29","29176","Q176","P.S. 176 Cambria Heights","120-45 235 Street","Queens","11411","Fully Accessible",-73.729226,40.684987,"non-kosher","FreeMeals","120-45 235 Street, , NY 11411<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"18","18068","K068","I.S. 068 Isaac Bildersee","956 EAST  82 STREET","Brooklyn","11236","No Accessibility",-73.911215,40.635388,"non-kosher","FreeMeals","956 EAST  82 STREET, , NY 11236<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"2","02297","M323","MS 297","75 MORTON STREET","Manhattan","10014","Fully Accessible",NA,NA,"non-kosher","FreeMeals","75 MORTON STREET, , NY 10014<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"5","05036","M036","P.S. 036 Margaret Douglas","123 MORNINGSIDE DRIVE","Manhattan","10027","No Accessibility",-73.957409,40.810705,"non-kosher","FreeMeals","123 MORNINGSIDE DRIVE, , NY 10027<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"8","08123","X123","J.H.S. 123 James M. Kieran","1025 MORRISON AVENUE","Bronx","10472","No Accessibility",-73.874162,40.824989,"non-kosher","FreeMeals","1025 MORRISON AVENUE, , NY 10472<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"16","16005","K005","P.S. 005 Dr. Ronald Mcnair","820 HANCOCK STREET","Brooklyn","11233","No Accessibility",-73.92197,40.685241,"non-kosher","FreeMeals","820 HANCOCK STREET, , NY 11233<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"24","24061","Q061","I.S. 061 Leonardo Da Vinci","98-50 50 AVENUE","Queens","11368","Fully Accessible",-73.862886,40.741898,"non-kosher","FreeMeals","98-50 50 AVENUE, , NY 11368<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"21","21559","K620","William E. Grady Career and Technical Education High School","25 BRIGHTON  4TH ROAD","Brooklyn","11235","No Accessibility",-73.963764,40.583263,"non-kosher","FreeMeals","25 BRIGHTON  4TH ROAD, , NY 11235<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"30","30212","Q212","P.S. 212","34-25 82 STREET","Queens","11372","Fully Accessible",-73.884458,40.753035,"non-kosher","FreeMeals","34-25 82 STREET, , NY 11372<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"28","28050","Q050","P.S. 050 Talfourd Lawn Elementary School","143-26 101 AVENUE","Queens","11435","Fully Accessible",-73.806842,40.694868,"non-kosher","FreeMeals","143-26 101 AVENUE, , NY 11435<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"30","30234","Q234","P.S. 234","30-15 29 STREET","Queens","11102","Fully Accessible",-73.923044,40.766898,"non-kosher","FreeMeals","30-15 29 STREET, , NY 11102<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"27","27253","Q253","P.S. 253 -QUEENS","1307 CENTRAL AVENUE","Queens","11691","Fully Accessible",-73.748799,40.607247,"kosher","FreeMeals","1307 CENTRAL AVENUE, , NY 11691<br/><b>Kosher meal type: </b>kosher<br/><b>Accessibility: </b>Fully Accessible"
"12","12579","X158","BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL","800 HOME STREET","Bronx","10456","Fully Accessible",-73.900593,40.826933,"non-kosher","FreeMeals","800 HOME STREET, , NY 10456<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"6","06589","M540","A. Philip Randolph Campus High School","443 WEST 135 STREET","Manhattan","10031","Partially Accessible",-73.949929,40.8185,"non-kosher","FreeMeals","443 WEST 135 STREET, , NY 10031<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"30","30150","Q150","P.S. 150 Queens","40-01 43 AVENUE","Queens","11104","Partially Accessible",-73.923375,40.745887,"non-kosher","FreeMeals","40-01 43 AVENUE, , NY 11104<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"1","01064","M064","P.S. 064 Robert Simon","600 EAST  6 STREET","Manhattan","10009","No Accessibility",-73.981597,40.72313,"non-kosher","FreeMeals","600 EAST  6 STREET, , NY 10009<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"26","26566","Q566","Queens High School of Teaching, Liberal Arts and the Sciences","74-20 COMMONWEALTH BLVD","Queens","11426","Fully Accessible",-73.728834,40.744197,"non-kosher","FreeMeals","74-20 COMMONWEALTH BLVD, , NY 11426<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"23","23284","K284","Gregory Jocko Jackson School of Sports, Art and Technology (The)","213 OSBORN STREET","Brooklyn","11212","No Accessibility",-73.907634,40.666942,"non-kosher","FreeMeals","213 OSBORN STREET, , NY 11212<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"17","17246","K246","M.S. 246 Walt Whitman","72 VERONICA PLACE","Brooklyn","11226","Partially Accessible",-73.95348,40.648352,"non-kosher","FreeMeals","72 VERONICA PLACE, , NY 11226<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"8","08119","X119","P.S. 119","1075 PUGSLEY AVENUE","Bronx","10472","No Accessibility",-73.857392,40.828474,"non-kosher","FreeMeals","1075 PUGSLEY AVENUE, , NY 10472<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"8","08072","X072","P.S. 072 Dr. William Dorney","2951 DEWEY AVENUE","Bronx","10465","Fully Accessible",-73.818172,40.823237,"non-kosher","FreeMeals","2951 DEWEY AVENUE, , NY 10465<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"2","02343","M343","The Peck Slip School","1 PECK SLIP","Manhattan","10038","Fully Accessible",-74.002407,40.708774,"non-kosher","FreeMeals","1 PECK SLIP, , NY 10038<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"23","23298","K298","P.S. 298 Dr. Betty Shabazz","85 WATKINS STREET","Brooklyn","11212","Partially Accessible",-73.907718,40.671015,"non-kosher","FreeMeals","85 WATKINS STREET, , NY 11212<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"1","01643","M445","New Design High School","350 GRAND STREET","Manhattan","10002","No Accessibility",-73.989329,40.717329,"non-kosher","FreeMeals","350 GRAND STREET, , NY 10002<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"8","08140","X140","P.S. X140 The Eagle School","916 EAGLE AVENUE","Bronx","10456","No Accessibility",-73.907489,40.823318,"non-kosher","FreeMeals","916 EAGLE AVENUE, , NY 10456<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"18","18235","K235","P.S. 235 Janice Marie Knight School","525 LENOX ROAD","Brooklyn","11203","Partially Accessible",-73.940922,40.655337,"non-kosher","FreeMeals","525 LENOX ROAD, , NY 11203<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"2","02276","M276","BATTERY PARK CITY SCHOOL","55 BATTERY PLACE","Manhattan","10280","Fully Accessible",-74.017456,40.706384,"non-kosher","FreeMeals","55 BATTERY PLACE, , NY 10280<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"30","30148","Q148","P.S. 148 Queens","89-02 32 AVENUE","Queens","11369","Partially Accessible",-73.878638,40.757629,"non-kosher","FreeMeals","89-02 32 AVENUE, , NY 11369<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"16","16571","K987","Brooklyn High School for Law and Technology","1396 BROADWAY","Brooklyn","11221","Fully Accessible",NA,NA,"non-kosher","FreeMeals","1396 BROADWAY, , NY 11221<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"18","18288","K252","Middle School for Art and Philosophy","1084 LENOX ROAD","Brooklyn","11212","No Accessibility",-73.919818,40.657712,"non-kosher","FreeMeals","1084 LENOX ROAD, , NY 11212<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"10","10340","X340","P.S. 340","25 WEST 195 STREET","Bronx","10468","Fully Accessible",-73.897171,40.869407,"non-kosher","FreeMeals","25 WEST 195 STREET, , NY 10468<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"6","06646","M814","Community Health Academy of the Heights","504 WEST 158TH STREET","Manhattan","10032","Fully Accessible",-73.942074,40.833695,"non-kosher","FreeMeals","504 WEST 158TH STREET, , NY 10032<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"3","03511","M485","Fiorello H. LaGuardia High School of Music & Art and Performing Arts","100 AMSTERDAM AVENUE","Manhattan","10023","Partially Accessible",-73.985976,40.774202,"non-kosher","FreeMeals","100 AMSTERDAM AVENUE, , NY 10023<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"10","10382","X079","Elementary School for Math, Science, and Technology","125 EAST 181 STREET","Bronx","10453","Fully Accessible",-73.903139,40.855337,"non-kosher","FreeMeals","125 EAST 181 STREET, , NY 10453<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"24","24019","Q019","P.S. 019 Marino Jeantet","98-02 ROOSEVELT AVENUE","Queens","11368","Fully Accessible",-73.866557,40.7486,"non-kosher","FreeMeals","98-02 ROOSEVELT AVENUE, , NY 11368<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"10","10046","X046","P.S. 046 Edgar Allan Poe","279 EAST 196 STREET","Bronx","10458","Fully Accessible",-73.890402,40.867169,"non-kosher","FreeMeals","279 EAST 196 STREET, , NY 10458<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"17","17006","K006","P.S. 006","43 SNYDER AVENUE","Brooklyn","11226","Fully Accessible",-73.956279,40.648973,"non-kosher","FreeMeals","43 SNYDER AVENUE, , NY 11226<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"26","26525","Q435","Martin Van Buren High School","230-17 HILLSIDE AVENUE","Queens","11427","Partially Accessible",-73.739726,40.733888,"non-kosher","FreeMeals","230-17 HILLSIDE AVENUE, , NY 11427<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"21","21303","K303","I.S. 303 Herbert S. Eisenberg","501 WEST AVENUE","Brooklyn","11224","Fully Accessible",-73.972009,40.582518,"non-kosher","FreeMeals","501 WEST AVENUE, , NY 11224<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"30","30092","Q292","P.S. 092 Harry T. Stewart Sr.","99-01 34 AVENUE","Queens","11368","Fully Accessible",-73.868773,40.755983,"non-kosher","FreeMeals","99-01 34 AVENUE, , NY 11368<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"10","10306","X306","P.S. 306","40 WEST TREMONT AVENUE","Bronx","10453","Fully Accessible",-73.910827,40.850722,"non-kosher","FreeMeals","40 WEST TREMONT AVENUE, , NY 10453<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"17","17249","K249","P.S. 249 The Caton","18 MARLBOROUGH ROAD","Brooklyn","11226","Partially Accessible",-73.966456,40.649509,"non-kosher","FreeMeals","18 MARLBOROUGH ROAD, , NY 11226<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"18","18635","K242","PS 235 Janice Marie Knight School Annex","10001 FLATLANDS AVENUE","Brooklyn","11236","No Accessibility",-73.940922,40.655337,"non-kosher","FreeMeals","10001 FLATLANDS AVENUE, , NY 11236<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"25","25120","Q120","P.S. 120 Queens","58-01 136 STREET","Queens","11355","Partially Accessible",-73.828674,40.745215,"non-kosher","FreeMeals","58-01 136 STREET, , NY 11355<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"28","28040","Q040","P.S. 040 Samuel Huntington","109-20 UNION HALL STREET","Queens","11433","No Accessibility",-73.790975,40.693559,"non-kosher","FreeMeals","109-20 UNION HALL STREET, , NY 11433<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"20","20163","K807","P.S. 163 Bath Beach","109 BAY 14TH STREET","Brooklyn","11214","Fully Accessible",-74.007469,40.606739,"non-kosher","FreeMeals","109 BAY 14TH STREET, , NY 11214<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"24","24293","Q744","Civic Leadership Academy","45-10 94TH STREET","Queens","11373","Fully Accessible",-73.871505,40.743228,"non-kosher","FreeMeals","45-10 94TH STREET, , NY 11373<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"22","22611","K495","Origins High School","3000 AVENUE X","Brooklyn","11235","Partially Accessible",-73.936635,40.593157,"non-kosher","FreeMeals","3000 AVENUE X, , NY 11235<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"22","22533","K405","Midwood High School","2839 BEDFORD AVENUE","Brooklyn","11210","No Accessibility",-73.952356,40.632829,"non-kosher","FreeMeals","2839 BEDFORD AVENUE, , NY 11210<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"4","04555","M013","Central Park East High School","1573 MADISON AVENUE","Manhattan","10029","No Accessibility",-73.948488,40.793649,"non-kosher","FreeMeals","1573 MADISON AVENUE, , NY 10029<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"4","04072","M072","The Lexington Academy","131 EAST 104 STREET","Manhattan","10029","No Accessibility",-73.94745,40.791444,"non-kosher","FreeMeals","131 EAST 104 STREET, , NY 10029<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"20","20259","K259","J.H.S. 259 William Mckinley","7305 FT HAMILTON PARKWAY","Brooklyn","11228","Partially Accessible",-74.014633,40.626089,"non-kosher","FreeMeals","7305 FT HAMILTON PARKWAY, , NY 11228<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"2","02551","M475","High School for Health Professions and Human Services","345 EAST  15TH STREET","Manhattan","10003","Partially Accessible",-73.98259,40.732665,"non-kosher","FreeMeals","345 EAST  15TH STREET, , NY 10003<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
