"borough","ClosureType","EditDate","GISpropNum","OMPpropID","Red.Sign.Installed","Status","accessibility","accessibilityLevel","location","name","longitude","latitude","rules","system","Approx.Date.Closed","Approx.Date.Reopened","Community.board","District","button","content"
"Brooklyn","Completely Locked","06/22/2020 03:45:07 PM","B051","B051","","Reopened","false","Not Applicable","Ave. S bet. E. 14 St. and E. 15 St.","Kelly Park Playground",-73.9579732768817,40.6036895176129,"Adults Allowed","B051-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",315,"B-15","Playgrounds","Ave. S bet. E. 14 St. and E. 15 St., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Bronx","Completely Locked","06/22/2020 11:14:05 AM","X232","X232","","Reopened","true","Level 3: Accessible Playgrounds with Universally Accessible Swings","Mace Ave. bet. Lodovick Ave. and Gunther Ave.","Burns Playground",-73.8365551991354,40.8629254829879,"Adults Allowed","X232-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",211,"X-11","Playgrounds","Mace Ave. bet. Lodovick Ave. and Gunther Ave., Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 3: Accessible Playgrounds with Universally Accessible Swings"
"Brooklyn","Completely Locked","06/23/2020 10:01:04 AM","B317","B317","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Lafayette Ave. and Franklin Ave.","Lafayette Gardens Playground",-73.9575656014562,40.6896710687971,"Adults Allowed","B317-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",303,"B-03","Playgrounds","Lafayette Ave. and Franklin Ave., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Manhattan","Completely Locked","06/22/2020 11:09:18 AM","M010","M010-241","","Reopened","true","Level 3: Accessible Playgrounds with Universally Accessible Swings","110 St & Cathedral Pkwy","110th St Plgd",-73.957044230788,40.7997833546053,"Unknown","M010-CPA-0019","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",164,"M-13","Playgrounds","110 St & Cathedral Pkwy, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 3: Accessible Playgrounds with Universally Accessible Swings"
"Brooklyn","Completely Locked","06/22/2020 12:30:41 PM","B246","B246","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Wortman Ave. between Jerome St. and Warwick St.","Jerome Playground",-73.8793935769881,40.6590243740455,"Adults Allowed","B246-CPA-0001","03/31/2020 07:11:11 PM","06/20/2020 12:00:00 AM",305,"B-05","Playgrounds","Wortman Ave. between Jerome St. and Warwick St., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Queens","Partially Locked","06/21/2020 11:31:08 AM","Q293","Q293","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","56 Ave. bet. 201 St. and 202 St.","Saul Weprin Playground",-73.7761341736701,40.7477513244498,"Adults Allowed","Q293-CPA-0002","03/31/2020 07:11:11 PM","06/21/2020 11:31:06 AM",411,"Q-11","Playgrounds","56 Ave. bet. 201 St. and 202 St., Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Bronx","Completely Locked","06/22/2020 09:30:14 AM","X272","X272","","Reopened","false","Not Applicable","E. 136 St. bet. Brown Pl. and Willis Ave.","Ranaqua Playground",-73.9220706589799,40.8068234645503,"Adults Allowed","X272-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",201,"X-01","Playgrounds","E. 136 St. bet. Brown Pl. and Willis Ave., Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Brooklyn","Completely Locked","06/22/2020 12:22:58 PM","B078","B078","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Vermont St. bet. Pitkin Ave. and Belmont Ave.","Grace Playground",-73.8945001718271,40.6718824256993,"Adults Allowed","B078-CPA-0001","03/31/2020 07:11:11 PM","06/20/2020 12:00:00 AM",305,"B-05","Playgrounds","Vermont St. bet. Pitkin Ave. and Belmont Ave., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Brooklyn","Partially Locked","06/22/2020 12:32:23 PM","B214","B214-01","","Reopened","false","Not Applicable","Vermont St, Stanley Ave, Gershwin JHS, Fence Betw Courts & Football Field","Linden Park",-73.8878208941789,40.658162128216,"Adults Allowed","B214-CPA-0001","03/31/2020 07:11:11 PM","06/20/2020 12:00:00 AM",305,"B-05","Playgrounds","Vermont St, Stanley Ave, Gershwin JHS, Fence Betw Courts & Football Field, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Queens","Partially Locked","06/21/2020 04:56:36 PM","Q460","Q460","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Cross Bay Blvd., Channel Rd. bet. E. 16 Rd. and E. 18 Rd.","Broad Channel Park",-73.8200066158419,40.6005536212454,"Unknown","Q460-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 04:56:33 PM",414,"Q-14","Playgrounds","Cross Bay Blvd., Channel Rd. bet. E. 16 Rd. and E. 18 Rd., Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Queens","Completely Locked","06/22/2020 04:28:49 PM","Q436","Q436","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","30 Ave. bet. 29 St. and 30 St.","Athens Square",-73.92275860285,40.7677803104788,"Adults Allowed","Q436-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",401,"Q-01","Playgrounds","30 Ave. bet. 29 St. and 30 St., Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Queens","Partially Locked","06/23/2020 11:11:01 AM","Q404","Q404","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","115 Rd. bet. 218 St. and 2019 St.","East Springfield Playground",-73.7400493871442,40.6987360628359,"Adults Allowed","Q404-CPA-0001","03/31/2020 07:11:11 PM","06/23/2020 11:10:59 AM",413,"Q-13","Playgrounds","115 Rd. bet. 218 St. and 2019 St., Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Manhattan","Completely Locked","06/22/2020 03:50:05 PM","M240","M240","","UnderConstruction","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Audubon Ave., W. 169 St. and W. 170 St.","Audubon Playground",-73.9381359859511,40.8417330507914,"Adults Allowed","M240-CPA-0001","03/31/2020 07:11:11 PM","",112,"M-12A","Playgrounds","Audubon Ave., W. 169 St. and W. 170 St., Manhattan, NY<br/><b>Status: </b>UnderConstruction<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Bronx","Completely Locked","06/22/2020 10:29:17 AM","X244","X244","","Reopened","false","Not Applicable","W. 181 St. bet. Grand Ave. and Davidson","Grand Playground",-73.9072979420176,40.8558418795048,"Adults not allowed in some locations","X244-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",205,"X-05","Playgrounds","W. 181 St. bet. Grand Ave. and Davidson, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Bronx","Completely Locked","06/22/2020 10:15:17 AM","X271","X271","","UnderConstruction","false","Not Applicable","E 170 St bet. Sheridan Av and Morris Av","Grant Park",-73.9138735935545,40.8360619391322,"Unknown","X271-CPA-0001","03/31/2020 07:11:11 PM","",204,"X-04","Playgrounds","E 170 St bet. Sheridan Av and Morris Av, Bronx, NY<br/><b>Status: </b>UnderConstruction<br/><b>Accessibility: </b>Not Applicable"
"Manhattan","Partially Locked","06/22/2020 10:49:20 AM","M077","M077-04","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","W 129 St & St Nicholas Terr","St Nicholas",-73.9508824511669,40.813667511015,"Adults Allowed","M077-CPA-0003","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",109,"M-09","Playgrounds","W 129 St & St Nicholas Terr, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Staten Island","Completely Locked","06/19/2020 01:54:41 PM","R046","R046-07","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Bet Graham Blvd, Jefferson Ave, Father Capodanno Blvd.","Midland Beach Playground",-74.0845108313857,40.5744361228032,"Adults Allowed","R046-CPA-0001","03/31/2020 07:11:11 PM","06/19/2020 12:00:00 AM",595,"R-02B","Playgrounds","Bet Graham Blvd, Jefferson Ave, Father Capodanno Blvd., Staten Island, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Queens","Not Lockable","06/21/2020 03:03:32 PM","Q330","Q330","","Reopened","true","Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings","121 Ave. bet. Lucas St. and 192 St.","Locust Manor Playground",-73.7563660246621,40.6857448363151,"Adults Allowed","Q330-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 03:03:28 PM",412,"Q-12","Playgrounds","121 Ave. bet. Lucas St. and 192 St., Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings"
"Bronx","Completely Locked","06/22/2020 11:14:47 AM","X214","X214","","Reopened","true","Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings","Olinville Ave. at Rosewood St.","Magenta Playground",-73.8678520207804,40.8734719665691,"Adults Allowed","X214-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",212,"X-12","Playgrounds","Olinville Ave. at Rosewood St., Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings"
"Manhattan","Completely Locked","06/22/2020 11:14:47 AM","M010","M010-031","","Reopened","true","Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings","62 St, Bet West & Center Drs","Heckscher Plgd",-73.9772969678268,40.7686265537265,"Unknown","M010-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",164,"M-13","Playgrounds","62 St, Bet West & Center Drs, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings"
"Staten Island","Completely Locked","06/22/2020 02:37:38 PM","R072","R072","","UnderConstruction","","","Adelaide Ave., Clawson St.","Clawson Playground",-74.1238365344422,40.5606072076371,"","","03/31/2020 07:11:11 PM","",503,"R-03","Playgrounds","Adelaide Ave., Clawson St., Staten Island, NY<br/><b>Status: </b>UnderConstruction<br/><b>Accessibility: </b>"
"Manhattan","Completely Locked","06/19/2020 10:12:12 AM","M235","M235","","Reopened","true","Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings","E. Broadway, Henry St., Gouverneur St.","Sol Lain Plgd",-73.9841384491156,40.7141270325785,"Adults not allowed in some locations","M235-CPA-0001","03/31/2020 07:11:11 PM","06/19/2020 12:00:00 AM",103,"M-03","Playgrounds","E. Broadway, Henry St., Gouverneur St., Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings"
"Manhattan","Completely Locked","06/22/2020 05:39:13 PM","M208E","M208E","","Reopened","","","E. 127 St., 2 Ave., and Harlem River Drive","Crack Is Wack Playground",-73.9317732048977,40.8043586737293,"","","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",111,"M-11","Playgrounds","E. 127 St., 2 Ave., and Harlem River Drive, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>"
"Manhattan","Completely Locked","06/22/2020 11:12:13 AM","M010","M010-164","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","81 St & Central Pk West","Diana Ross Plgd",-73.9709871311635,40.7822609745131,"Unknown","M010-CPA-0009","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",164,"M-13","Playgrounds","81 St & Central Pk West, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Brooklyn","Completely Locked","06/23/2020 10:01:04 AM","B313","B313","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Macdonough St. between Malcolm X Blvd. and Stuyvesant Ave.","El Shabazz Playground",-73.9308534899053,40.6828590107809,"Adults Allowed","B313-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",303,"B-03","Playgrounds","Macdonough St. between Malcolm X Blvd. and Stuyvesant Ave., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Queens","Partially Locked","06/21/2020 11:27:34 AM","Q346","Q346","","Reopened","true","Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings","251 St. bet. 61 Ave. and 63 Ave.","Challenge Playground",-73.7280625427261,40.7570961262938,"Adults Allowed","Q346-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 11:27:31 AM",411,"Q-11","Playgrounds","251 St. bet. 61 Ave. and 63 Ave., Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings"
"Queens","Completely Locked","06/21/2020 01:04:53 PM","Q024","Q024-02","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","164 St & Lithonia","Playground",-73.8031396572034,40.7486743614552,"Unknown","Q024-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 01:04:51 PM",407,"Q-07","Playgrounds","164 St & Lithonia, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Bronx","Completely Locked","06/22/2020 09:47:28 AM","X153","X153-02","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Merriam & Ogden Aves, W 168 St, University","Merriam Plgd (Lower)",-73.926198320847,40.8392115545549,"Adults not allowed in some locations","X153-CPA-0002","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",204,"X-04","Playgrounds","Merriam & Ogden Aves, W 168 St, University, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Manhattan","Completely Locked","06/22/2020 04:37:17 PM","M213","M213","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","N/s E. 104 St., Madison Ave. and Park Ave.","Mae Grant Playground",-73.9496235590597,40.7924693082075,"Adults Allowed","M213-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",111,"M-11","Playgrounds","N/s E. 104 St., Madison Ave. and Park Ave., Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Manhattan","Partially Locked","06/22/2020 12:58:48 PM","M141","M141","","Reopened","false","Not Applicable","Harlem River Dr., W. 151 St. To W. 154 St.","Harlem Lane Playground",-73.9347147647569,40.8250950301934,"Adults not allowed in some locations","M141-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",110,"M-10","Playgrounds","Harlem River Dr., W. 151 St. To W. 154 St., Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Brooklyn","Completely Locked","06/24/2020 10:49:18 AM","B249","B249","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Dumont Ave. between Powell St. and Mother Gaston Blvd.","Van Dyke Playground",-73.9042682121939,40.6646251898098,"Adults not allowed in some locations","B249-CPA-0001","03/31/2020 07:11:11 PM","06/23/2020 12:00:00 AM",316,"B-16","Playgrounds","Dumont Ave. between Powell St. and Mother Gaston Blvd., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Brooklyn","Completely Locked","06/22/2020 04:15:01 PM","B158","B158","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","18 Ave. bet. 83 St. and 82 St.","Garibaldi Playground",-74.0001184533611,40.6089357353523,"Adults Allowed","B158-CPA-0001","03/31/2020 07:11:11 PM","06/20/2020 12:00:00 AM",311,"B-11","Playgrounds","18 Ave. bet. 83 St. and 82 St., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Manhattan","Completely Locked","06/19/2020 10:04:49 AM","M019","M019","","Reopened","false","Not Applicable","Cherry St, Pike St, Monroe St","Coleman Playground",-73.9937732513848,40.7108614761713,"Adults Allowed","M019-CPA-0001","03/31/2020 07:11:11 PM","06/19/2020 12:00:00 AM",103,"M-03","Playgrounds","Cherry St, Pike St, Monroe St, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Brooklyn","Completely Locked","06/22/2020 01:35:26 PM","B360","B360","","Reopened","false","Not Applicable","Remsen Ave. and Glenwood Rd.","Remsen Playground",-73.9075718203052,40.6420315068618,"Adults Allowed","B360-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",318,"B-18","Playgrounds","Remsen Ave. and Glenwood Rd., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Brooklyn","Completely Locked","06/24/2020 11:34:44 AM","B293","B293","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Lafayette Ave. and Classon Ave.","Classon Playground",-73.9604643638219,40.6892782040205,"Adults Allowed","B293-CPA-0001","03/31/2020 07:11:11 PM","06/23/2020 12:00:00 AM",302,"B-02","Playgrounds","Lafayette Ave. and Classon Ave., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Bronx","Partially Locked","06/22/2020 10:07:22 AM","X147A","X147A-01","","Reopened","false","Not Applicable","Sheridan Exwy, Bronx River, S/o E 174 St Bridge","Starlight Park Playground",-73.8820320094127,40.8343739893475,"Adults not allowed in some locations","X147A-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",209,"X-14","Playgrounds","Sheridan Exwy, Bronx River, S/o E 174 St Bridge, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Queens","Partially Locked","06/19/2020 01:40:13 PM","Q373","Q373","","Reopened","false","Not Applicable","100 St., 98 St. bet. 24 Ave. and 25 Ave.","East Elmhurst Playground",-73.871636492796,40.7657287245674,"Adults Allowed","Q373-CPA-0001","03/31/2020 07:11:11 PM","06/19/2020 01:40:11 PM",403,"Q-03","Playgrounds","100 St., 98 St. bet. 24 Ave. and 25 Ave., Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Brooklyn","Completely Locked","06/22/2020 11:24:26 AM","B141","B141","","Reopened","false","Not Applicable","Atlantic Ave. bet. Fountain Ave. and N. Conduit Ave.","City Line Park",-73.8740326179733,40.6788862699322,"Adults Allowed","B141-CPA-0001","03/31/2020 07:11:11 PM","06/20/2020 12:00:00 AM",305,"B-05","Playgrounds","Atlantic Ave. bet. Fountain Ave. and N. Conduit Ave., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Queens","Completely Locked","06/23/2020 09:27:35 AM","Q361","Q361","","UnderConstruction","false","Not Applicable","Broadway., 82 St., 45 Ave.","Moore Homestead Playground",-73.8827448114056,40.7421757008121,"Adults Allowed","Q361-CPA-0001","03/31/2020 07:11:11 PM","",404,"Q-04","Playgrounds","Broadway., 82 St., 45 Ave., Queens, NY<br/><b>Status: </b>UnderConstruction<br/><b>Accessibility: </b>Not Applicable"
"Bronx","Completely Locked","06/22/2020 10:03:12 AM","X014","X014","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","E. 165 St. and Rogers Pl.","Horseshoe Playground",-73.8977070284057,40.8240679707461,"Adults Allowed","X014-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",202,"X-02","Playgrounds","E. 165 St. and Rogers Pl., Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Brooklyn","Completely Locked","06/22/2020 03:01:24 PM","B114","B114-01","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Nassau Ave Bet Monitor St & Russell St","Monsignor Mcgolrick Playground",-73.9435586598799,40.7252651347408,"Adults not allowed in some locations","B114-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",301,"B-01","Playgrounds","Nassau Ave Bet Monitor St & Russell St, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Manhattan","Completely Locked","06/25/2020 02:00:34 PM","M303","M303","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","W. 139 St. bet. Adam C Powell Blvd. and Lenox Ave.","Abyssinian Tot Lot",-73.9409349785114,40.8171385721753,"Adults Allowed","M303-CPA-0001","03/31/2020 07:11:11 PM","06/25/2020 12:00:00 AM",110,"M-10","Playgrounds","W. 139 St. bet. Adam C Powell Blvd. and Lenox Ave., Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Queens","Not Lockable","06/21/2020 02:55:40 PM","Q118","Q118","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Liberty Ave. bet. 101 St. and 102 St.","Police Officer Nicholas Demutiis Park",-73.8394556358225,40.6816237534203,"Adults Allowed","Q118-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 02:55:37 PM",410,"Q-10","Playgrounds","Liberty Ave. bet. 101 St. and 102 St., Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Bronx","Completely Locked","06/22/2020 11:11:33 AM","X087","X087","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Britton St. bet. Olinville Ave. and Barker Ave.","Zimmerman Playground",-73.8687394823477,40.8661555357401,"Adults Allowed","X087-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",211,"X-11","Playgrounds","Britton St. bet. Olinville Ave. and Barker Ave., Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Brooklyn","Completely Locked","06/22/2020 12:38:34 PM","B270","B270","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Hegeman Ave., Linden Blvd. bet. Powell St. and Mother Gaston Blvd.","Brownsville Playground",-73.9015443224569,40.6566600323653,"Adults Allowed","B270-CPA-0001","03/31/2020 07:11:11 PM","06/20/2020 12:00:00 AM",316,"B-16","Playgrounds","Hegeman Ave., Linden Blvd. bet. Powell St. and Mother Gaston Blvd., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Brooklyn","Completely Locked","06/22/2020 03:35:50 PM","B193","B193","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Albany Ave., E. New York Ave., Lefferts Ave.","Hamilton Metz Field",-73.9403487710369,40.6627444557932,"Adults Allowed","B193-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",309,"B-09","Playgrounds","Albany Ave., E. New York Ave., Lefferts Ave., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Manhattan","Completely Locked","06/22/2020 05:19:55 PM","M256","M256","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","E. 48 St. To E. 49 St., FDR","MacArthur Playground",-73.9651175392199,40.752179794004,"Adults Allowed","M256-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",106,"M-06","Playgrounds","E. 48 St. To E. 49 St., FDR, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Manhattan","Completely Locked","06/19/2020 10:11:14 AM","M105","M105-04","","Reopened","true","Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings","Rivington St","Rivington St Plgd",-73.9917662038347,40.7213347456204,"Adults Allowed","M105-CPA-0002","03/31/2020 07:11:11 PM","06/19/2020 12:00:00 AM",103,"M-03","Playgrounds","Rivington St, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings"
"Brooklyn","Completely Locked","06/24/2020 09:40:59 AM","B225","B225","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Atlantic Ave., Herkimer St., Kingston Ave., St Andrew's Pl.","St. Andrew's Playground",-73.9417046127034,40.6789895730772,"Adults Allowed","B225-CPA-0001","03/31/2020 07:11:11 PM","06/23/2020 12:00:00 AM",303,"B-03","Playgrounds","Atlantic Ave., Herkimer St., Kingston Ave., St Andrew's Pl., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Bronx","Completely Locked","06/22/2020 09:40:41 AM","X030","X030-02","","Reopened","false","Not Applicable","Northwest Corner Of Zone 2 Heritage Field","Heritage Field Playground",-73.9278377953924,40.8277437440982,"Adults not allowed in some locations","X030-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",204,"X-04","Playgrounds","Northwest Corner Of Zone 2 Heritage Field, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
